2014-01-23 09:55:32 Notice: Notice (8): Undefined offset: 0 in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 172]
2014-01-23 09:55:32 Notice: Notice (8): Undefined offset: 0 in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 173]
2014-01-23 10:01:33 Notice: Notice (8): Undefined index: limit_date in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 172]
2014-01-23 10:02:53 Notice: Notice (8): Undefined index: limit_date in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 172]
2014-01-23 10:03:08 Notice: Notice (8): Undefined index: limit_date in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 172]
2014-01-23 10:13:40 Notice: Notice (8): Undefined offset: 12 in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 166]
2014-01-23 10:14:51 Notice: Notice (8): Undefined offset: 12 in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 167]
2014-01-23 10:15:17 Notice: Notice (8): Undefined offset: 372 in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 167]
2014-01-23 10:15:49 Notice: Notice (8): Undefined offset: 384 in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 166]
2014-01-23 10:16:04 Notice: Notice (8): Undefined offset: 384 in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 167]
2014-01-23 10:23:37 Notice: Notice (8): Undefined offset: 361 in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 173]
2014-01-23 10:24:06 Notice: Notice (8): Undefined offset: 361 in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 174]
2014-01-23 11:10:55 Notice: Notice (8): Undefined index: edit_user_id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 478]
2014-01-23 11:12:11 Notice: Notice (8): Undefined index: edit_user_id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 478]
2014-01-23 11:12:11 Notice: Notice (8): Undefined offset: 0 in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 166]
2014-01-23 11:20:19 Notice: Notice (8): Undefined offset: 0 in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 166]
2014-01-23 12:30:52 Notice: Notice (8): Undefined offset: 0 in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 166]
2014-01-23 12:31:27 Notice: Notice (8): Undefined index: Assignee in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 540]
2014-01-23 12:31:27 Notice: Notice (8): Undefined index: edit_user_id in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/controllers/issues_controller.php, line 483]
2014-01-23 12:32:51 Notice: Notice (8): Undefined offset: 0 in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 166]
2014-01-23 12:32:51 Notice: Notice (8): Undefined offset: 0 in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 170]
2014-01-23 12:32:51 Notice: Notice (8): Undefined offset: 0 in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 173]
2014-01-23 12:33:15 Notice: Notice (8): Undefined offset: 0 in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 166]
2014-01-23 12:33:15 Notice: Notice (8): Undefined offset: 0 in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 170]
2014-01-23 12:33:15 Notice: Notice (8): Undefined offset: 0 in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 173]
2014-01-23 12:35:46 Notice: Notice (8): Undefined offset: 0 in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 166]
2014-01-23 12:35:46 Notice: Notice (8): Undefined offset: 0 in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 170]
2014-01-23 12:35:46 Notice: Notice (8): Undefined offset: 0 in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 173]
2014-01-23 12:41:06 Notice: Notice (8): Undefined offset: 0 in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 166]
2014-01-23 12:43:23 Notice: Notice (8): Undefined offset: 0 in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 166]
2014-01-23 12:43:43 Notice: Notice (8): Undefined offset: 0 in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 166]
2014-01-23 12:44:21 Notice: Notice (8): Undefined offset: 0 in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 166]
2014-01-23 12:44:25 Notice: Notice (8): Undefined offset: 0 in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 166]
2014-01-23 12:54:57 Notice: Notice (8): Undefined offset: 11 in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/details.ctp, line 173]
2014-01-24 04:20:33 Notice: Notice (8): Undefined variable: isEdit in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/elements/products_detail_header.ctp, line 163]
2014-01-24 04:21:09 Notice: Notice (8): Undefined variable: isEdit in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/elements/products_detail_header.ctp, line 163]
2014-01-24 04:21:09 Notice: Notice (8): Undefined variable: formName in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/elements/products_detail_header.ctp, line 166]
2014-01-24 05:03:26 Notice: Notice (8): Undefined variable: products in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 50]
2014-01-24 05:03:27 Notice: Notice (8): Undefined variable: studies_selected in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 69]
2014-01-24 05:05:36 Notice: Notice (8): Undefined variable: products in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 50]
2014-01-24 05:05:36 Notice: Notice (8): Undefined variable: studies_selected in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 69]
2014-01-24 05:07:38 Notice: Notice (8): Undefined variable: products in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 50]
2014-01-24 05:07:38 Notice: Notice (8): Undefined variable: studies_selected in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 69]
2014-01-24 05:09:10 Notice: Notice (8): Undefined variable: products in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 68]
2014-01-24 05:09:11 Notice: Notice (8): Undefined variable: studies_selected in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 87]
2014-01-24 05:34:14 Notice: Notice (8): Undefined variable: products in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 48]
2014-01-24 05:34:14 Notice: Notice (8): Undefined variable: studies_selected in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 67]
2014-01-24 05:39:26 Notice: Notice (8): Undefined variable: products in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 48]
2014-01-24 05:39:26 Notice: Notice (8): Undefined variable: studies_selected in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 69]
2014-01-24 05:39:52 Notice: Notice (8): Undefined variable: products in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 48]
2014-01-24 05:39:52 Notice: Notice (8): Undefined variable: studies_selected in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 69]
2014-01-24 05:46:14 Notice: Notice (8): Undefined variable: products in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 48]
2014-01-24 05:46:14 Notice: Notice (8): Undefined variable: studies_selected in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 69]
2014-01-24 05:48:39 Notice: Notice (8): Undefined variable: products in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 48]
2014-01-24 05:48:39 Notice: Notice (8): Undefined variable: studies_selected in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 69]
2014-01-24 05:51:10 Notice: Notice (8): Undefined variable: products in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 65]
2014-01-24 05:51:11 Notice: Notice (8): Undefined variable: studies_selected in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 86]
2014-01-24 05:51:37 Notice: Notice (8): Undefined variable: products in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 65]
2014-01-24 05:51:37 Notice: Notice (8): Undefined variable: studies_selected in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 86]
2014-01-24 05:51:46 Notice: Notice (8): Undefined variable: products in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 49]
2014-01-24 05:51:47 Notice: Notice (8): Undefined variable: studies_selected in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 70]
2014-01-24 05:52:35 Notice: Notice (8): Undefined variable: studies_selected in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 57]
2014-01-24 08:43:09 Notice: Notice (8): Undefined variable: products in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 51]
2014-01-24 08:43:09 Notice: Notice (8): Undefined variable: studies_selected in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 72]
2014-01-24 08:58:09 Notice: Notice (8): Undefined variable: products in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 73]
2014-01-24 08:58:09 Notice: Notice (8): Undefined variable: studies_selected in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 92]
2014-01-24 08:59:06 Notice: Notice (8): Undefined variable: studies_selected in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 124]
2014-01-24 09:02:07 Notice: Notice (8): Undefined variable: studies_selected in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 124]
2014-01-24 09:03:53 Notice: Notice (8): Undefined variable: studies_selected in [/Applications/XAMPP/xamppfiles/htdocs/ctportal/app/views/issues/create_edit.ctp, line 124]
